timestamp_utc,tripId,codTren,codLinea,retrasoMin,codEstAct,codEstSig,horaLlegadaSigEst,codEstDest,codEstOrig,porAvanc,latitud,longitud,nucleo,accesible,via,nextVia
2026-06-07T00:01:57Z,1055D79872C4b,79872,C4b,25,17004,17004,2026-06-09T02:01:00,37012,17005,A,40.59852,-3.7158544,10,False,3,3
2026-06-07T00:01:57Z,1055D78761C5,78761,C5,1,18000,35609,2026-06-08T02:02:00,35607,35002,S,40.406326,-3.6896772,10,False,9,2
2026-06-07T00:01:57Z,1055D79773C4a,79773,C4a,-1,17001,17001,2026-06-09T02:01:00,19003,37001,A,40.501648,-3.6821797,10,True,1,1
2026-06-07T00:01:57Z,1055D79152C3,79152,C3,3,60107,60101,2026-06-09T02:04:00,60200,17000,S,40.342415,-3.6838048,10,False,2,2
2026-06-07T00:01:57Z,1055D78760C5,78760,C5,1,18000,18003,2026-06-08T02:02:00,35002,35607,E,40.406326,-3.6896772,10,False,10,2
2026-06-07T00:01:57Z,1055D79774C4a,79774,C4a,60,19002,19001,2026-06-09T02:04:00,37012,19003,E,40.54745,-3.6543186,10,False,2,2
2026-06-07T00:01:57Z,1055D79150C3,79150,C3,-2,60200,60200,2026-06-09T02:02:00,60200,17000,A,40.035027,-3.6189713,10,False,3,3
2026-06-07T00:01:57Z,1055D77163C2,77163,C2,20,18002,17000,2026-06-09T02:08:00,17000,70103,S,40.44655,-3.691473,10,False,1,10
2026-06-07T00:01:57Z,1055D76592C2,76592,C2,3,70100,70108,2026-06-09T02:04:00,70200,17000,S,40.401035,-3.5957623,10,False,2,2
2026-06-07T00:06:23Z,1055D76592C2,76592,C2,0,70101,70101,2026-06-09T02:05:00,70200,17000,A,40.44277,-3.5339844,10,False,2,2
2026-06-07T00:06:23Z,1055D79152C3,79152,C3,2,60109,60102,2026-06-09T02:08:00,60200,17000,E,40.318535,-3.7097142,10,True,2,2
2026-06-07T00:06:23Z,1055D79773C4a,79773,C4a,-2,17009,17009,2026-06-09T02:05:00,19003,37001,A,40.54373,-3.7003317,10,True,1,1
2026-06-07T00:06:23Z,1055D79872C4b,79872,C4b,25,17003,17003,2026-06-09T02:05:00,37012,17005,A,40.558834,-3.7141593,10,False,2,2
2026-06-07T00:06:23Z,1055D78760C5,78760,C5,0,18003,35702,2026-06-08T02:05:00,35002,35607,S,40.39592,-3.6779969,10,False,2,2
2026-06-07T00:06:23Z,1055D78761C5,78761,C5,0,35609,35608,2026-06-08T02:07:00,35607,35002,S,40.405067,-3.7026901,10,False,2,2
2026-06-07T00:06:23Z,1055D79774C4a,79774,C4a,60,19001,17009,2026-06-09T02:07:00,37012,19003,E,40.55402,-3.6837044,10,True,2,2
2026-06-07T00:11:38Z,1055D79773C4a,79773,C4a,0,19001,19002,2026-06-09T02:13:00,19003,37001,E,40.55402,-3.6837044,10,True,1,1
2026-06-07T00:11:38Z,1055D79774C4a,79774,C4a,62,17009,17001,2026-06-09T02:15:00,37012,19003,S,40.54373,-3.7003317,10,True,2,2
2026-06-07T00:11:38Z,1055D78760C5,78760,C5,0,35703,35704,2026-06-08T02:09:00,35002,35607,S,40.367134,-3.7043796,10,False,2,2
2026-06-07T00:11:38Z,1055D79872C4b,79872,C4b,27,17009,17001,2026-06-09T02:17:00,37012,17005,E,40.54373,-3.7003317,10,False,2,2
2026-06-07T00:11:38Z,1055D79152C3,79152,C3,3,60102,60103,2026-06-09T02:15:00,60200,17000,S,40.305756,-3.707588,10,False,2,2
2026-06-07T00:11:38Z,1055D76592C2,76592,C2,1,70102,70112,2026-06-09T02:15:00,70200,17000,E,40.454636,-3.4796963,10,False,2,2
2026-06-07T00:11:38Z,1055D78761C5,78761,C5,0,35600,35601,2026-06-08T02:12:00,35607,35002,S,40.386257,-3.7610443,10,False,2,2
2026-06-07T00:16:27Z,1055D78760C5,78760,C5,0,37001,35009,2026-06-08T02:15:00,35002,35607,E,40.34132,-3.7123663,10,False,6,2
