timestamp_utc,tripId,codTren,codLinea,retrasoMin,codEstAct,codEstSig,horaLlegadaSigEst,codEstDest,codEstOrig,porAvanc,latitud,longitud,nucleo,accesible,via,nextVia
2026-09-01T00:05:22Z,2042M70400C5,70400,C5,1025,05443,05441,2026-08-31T22:35:00,15410,05443,A,43.25987,-5.5750175,20,False,1,1
2026-09-01T00:14:14Z,2042M70400C5,70400,C5,1025,05443,05441,2026-08-31T22:35:00,15410,05443,A,43.25987,-5.5750175,20,False,1,1
2026-09-01T00:19:47Z,2042M70400C5,70400,C5,1025,05443,05441,2026-08-31T22:35:00,15410,05443,A,43.25987,-5.5750175,20,False,1,1
2026-09-01T00:24:06Z,2042M70400C5,70400,C5,1025,05443,05441,2026-08-31T22:35:00,15410,05443,A,43.25987,-5.5750175,20,False,1,1
2026-09-01T00:29:04Z,2042M70400C5,70400,C5,1025,05443,05441,2026-08-31T22:35:00,15410,05443,A,43.25987,-5.5750175,20,False,1,1
2026-09-01T00:34:40Z,2042M70400C5,70400,C5,1025,05443,05441,2026-08-31T22:35:00,15410,05443,A,43.25987,-5.5750175,20,False,1,1
2026-09-01T00:39:47Z,1042M20531C4,20531,C4,-1281,18000,18101,2026-09-02T02:41:00,17000,37012,E,40.40654,-3.6895106,10,True,2,1
2026-09-01T00:45:00Z,1042M20531C4,20531,C4,-1276,18000,18101,2026-09-02T02:46:00,17000,37012,E,40.40654,-3.6895106,10,True,2,1
2026-09-01T00:49:55Z,1042M20531C4,20531,C4,-1271,18000,18101,2026-09-02T02:51:00,17000,37012,E,40.40654,-3.6895106,10,True,2,1
2026-09-01T00:54:00Z,1042M20531C4,20531,C4,-1267,18000,18101,2026-09-02T02:55:00,17000,37012,E,40.40654,-3.6895106,10,True,2,1
